Classe;Número do RIP;UF;Município;Endereço;Bairro;Conceituação;Tipo Imóvel;Situação da Utilização;Proprietário Oficial;Regime de Utilização;CEP DO IMOVEL;VALOR DO M2 DO TERRENO;VALOR DO M2 DE CONSTRUCAO
DOMINIAL;7107010007000;SP;SAO PAULO;R BOA VISTA 162 1  SUBSOLO-ED BANDEIRANTES CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
DOMINIAL;7107000004989;SP;SAO PAULO;R GENERAL SOCRATES 311 LOTE 31 A CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010002970;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 31 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010002628;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 63 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000007570;SP;SAO PAULO;R GEN SOCRATES 87 EDIF ABRIKIAN CEP: 03632000;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000000991;SP;SAO PAULO;R GENERAL CARNEIRO 150 TERRENO CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000016219;SP;SAO PAULO;R GENERAL CARNEIRO 187 TERRENO CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000014194;SP;SAO PAULO;R GENERAL CARNEIRO 186 TERRENO CEP: 01015000;CENTRO SAO PAULO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010003861;SP;SAO PAULO;R GENERAL CARNEIRO 225 CONJ 52 ED SOLAR CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010006453;SP;SAO PAULO;R GENERAL CARNEIRO 115 LOJA 115 -1-2-3PVTOS ED VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
